,No.,Pos.,Player,Caps,Goals,Club,Country,Team,DOB,age
0,1,1GK,Essam El-Hadary (captain),158,0,Al-Taawoun,Saudi Arabia,Egypt,1973-01-15,45
1,2,2DF,Ali Gabr,21,1,West Bromwich Albion,England,Egypt,1989-01-01,29
2,3,2DF,Ahmed Elmohamady,78,2,Aston Villa,England,Egypt,1987-09-09,30
3,4,3MF,Omar Gaber,24,0,Los Angeles FC,United States,Egypt,1992-01-30,26
4,5,3MF,Sam Morsy,5,0,Wigan Athletic,England,Egypt,1991-09-10,26
5,6,2DF,Ahmed Hegazi,45,1,West Bromwich Albion,England,Egypt,1991-01-25,27
6,7,2DF,Ahmed Fathy,126,3,Al Ahly,Egypt,Egypt,1984-11-10,33
7,8,3MF,Tarek Hamed,21,0,Zamalek,Egypt,Egypt,1988-10-24,29
8,9,4FW,Marwan Mohsen,24,4,Al Ahly,Egypt,Egypt,1989-02-26,29
9,10,4FW,Mohamed Salah,57,33,Liverpool,England,Egypt,1992-06-15,25
10,11,4FW,Kahraba,19,3,Al-Ittihad,Saudi Arabia,Egypt,1994-04-13,24
11,12,2DF,Ayman Ashraf,4,0,Al Ahly,Egypt,Egypt,1991-04-09,27
12,13,2DF,Mohamed Abdel-Shafy,51,1,Al-Fateh,Saudi Arabia,Egypt,1985-07-01,32
13,14,4FW,Ramadan Sobhi,23,1,Stoke City,England,Egypt,1997-01-23,21
14,15,2DF,Mahmoud Hamdy,0,0,Zamalek,Egypt,Egypt,1995-06-01,23
15,16,1GK,Sherif Ekramy,22,0,Al Ahly,Egypt,Egypt,1983-07-10,34
16,17,3MF,Mohamed Elneny,61,5,Arsenal,England,Egypt,1992-07-11,25
17,18,4FW,Shikabala,29,2,Al-Raed,Saudi Arabia,Egypt,1986-03-05,32
18,19,3MF,Abdallah Said,36,6,KuPS,Finland,Egypt,1985-07-13,32
19,20,2DF,Saad Samir,11,0,Al Ahly,Egypt,Egypt,1989-04-01,29
20,21,3MF,Trézéguet,24,2,Kasımpaşa,Turkey,Egypt,1994-10-01,23
21,22,4FW,Amr Warda,16,0,Atromitos,Greece,Egypt,1993-09-17,24
22,23,1GK,Mohamed El-Shenawy,3,0,Al Ahly,Egypt,Egypt,1988-12-18,29
0,1,1GK,Igor Akinfeev (captain),106,0,CSKA Moscow,Russia,Russia,1986-04-08,32
1,2,2DF,Mário Fernandes,5,0,CSKA Moscow,Russia,Russia,1990-09-19,27
2,3,2DF,Ilya Kutepov,7,0,Spartak Moscow,Russia,Russia,1993-07-29,24
3,4,2DF,Sergei Ignashevich,122,8,CSKA Moscow,Russia,Russia,1979-07-14,38
4,5,2DF,Andrei Semyonov,6,0,Akhmat Grozny,Russia,Russia,1989-03-24,29
5,6,3MF,Denis Cheryshev,11,0,Villarreal,Spain,Russia,1990-12-26,27
6,7,3MF,Daler Kuzyayev,6,0,Zenit Saint Petersburg,Russia,Russia,1993-01-15,25
7,8,3MF,Yury Gazinsky,6,0,Krasnodar,Russia,Russia,1989-07-20,28
8,9,3MF,Alan Dzagoev,57,9,CSKA Moscow,Russia,Russia,1990-06-17,27
9,10,4FW,Fyodor Smolov,32,12,Krasnodar,Russia,Russia,1990-02-09,28
10,11,3MF,Roman Zobnin,12,0,Spartak Moscow,Russia,Russia,1994-02-11,24
11,12,1GK,Andrey Lunyov,3,0,Zenit Saint Petersburg,Russia,Russia,1991-11-13,26
12,13,2DF,Fyodor Kudryashov,19,0,Rubin Kazan,Russia,Russia,1987-04-05,31
13,14,2DF,Vladimir Granat,12,1,Rubin Kazan,Russia,Russia,1987-05-22,31
14,15,3MF,Aleksei Miranchuk,18,4,Lokomotiv Moscow,Russia,Russia,1995-10-17,22
15,16,3MF,Anton Miranchuk,6,0,Lokomotiv Moscow,Russia,Russia,1995-10-17,22
16,17,3MF,Aleksandr Golovin,19,2,CSKA Moscow,Russia,Russia,1996-05-30,22
17,18,3MF,Yuri Zhirkov,84,2,Zenit Saint Petersburg,Russia,Russia,1983-08-20,34
18,19,3MF,Aleksandr Samedov,48,7,Spartak Moscow,Russia,Russia,1984-07-19,33
19,20,1GK,Vladimir Gabulov,10,0,Club Brugge,Belgium,Russia,1983-10-19,34
20,21,3MF,Aleksandr Yerokhin,17,0,Zenit Saint Petersburg,Russia,Russia,1989-10-13,28
21,22,4FW,Artem Dzyuba,23,11,Arsenal Tula,Russia,Russia,1988-08-22,29
22,23,2DF,Igor Smolnikov,27,0,Zenit Saint Petersburg,Russia,Russia,1988-08-08,29
0,1,1GK,Abdullah Al-Mayouf,11,0,Al-Hilal,Saudi Arabia,Saudi Arabia,1987-01-23,31
1,2,2DF,Mansoor Al-Harbi,40,1,Al-Ahli,Saudi Arabia,Saudi Arabia,1987-10-19,30
2,3,2DF,Osama Hawsawi (captain),135,7,Al-Hilal,Saudi Arabia,Saudi Arabia,1984-03-31,34
3,4,2DF,Ali Al-Bulaihi,4,0,Al-Hilal,Saudi Arabia,Saudi Arabia,1989-11-21,28
4,5,2DF,Omar Hawsawi,42,3,Al-Nassr,Saudi Arabia,Saudi Arabia,1985-09-27,32
5,6,2DF,Mohammed Al-Breik,11,1,Al-Hilal,Saudi Arabia,Saudi Arabia,1992-09-15,25
6,7,3MF,Salman Al-Faraj,43,3,Al-Hilal,Saudi Arabia,Saudi Arabia,1989-08-01,28
7,8,3MF,Yahya Al-Shehri,57,8,Leganés,Spain,Saudi Arabia,1990-06-26,27
8,9,3MF,Hattan Bahebri,5,0,Al-Shabab,Saudi Arabia,Saudi Arabia,1992-07-16,25
9,10,4FW,Mohammad Al-Sahlawi,40,28,Al-Nassr,Saudi Arabia,Saudi Arabia,1987-01-10,31
10,11,3MF,Abdulmalek Al-Khaibri,36,0,Al-Hilal,Saudi Arabia,Saudi Arabia,1986-03-13,32
11,12,3MF,Mohamed Kanno,6,1,Al-Hilal,Saudi Arabia,Saudi Arabia,1994-09-22,23
12,13,2DF,Yasser Al-Shahrani,37,0,Al-Hilal,Saudi Arabia,Saudi Arabia,1992-05-25,26
13,14,3MF,Abdullah Otayf,16,1,Al-Hilal,Saudi Arabia,Saudi Arabia,1992-08-03,25
14,15,3MF,Abdullah Al-Khaibari,5,0,Al-Shabab,Saudi Arabia,Saudi Arabia,1996-08-16,21
15,16,3MF,Housain Al-Mogahwi,18,1,Al-Ahli,Saudi Arabia,Saudi Arabia,1988-03-24,30
16,17,3MF,Taisir Al-Jassim,132,19,Al-Ahli,Saudi Arabia,Saudi Arabia,1984-07-25,33
17,18,3MF,Salem Al-Dawsari,33,4,Villarreal,Spain,Saudi Arabia,1991-08-19,26
18,19,4FW,Fahad Al-Muwallad,45,10,Levante,Spain,Saudi Arabia,1994-09-14,23
19,20,4FW,Muhannad Assiri,18,4,Al-Ahli,Saudi Arabia,Saudi Arabia,1986-10-14,31
20,21,1GK,Yasser Al-Mosailem,32,0,Al-Ahli,Saudi Arabia,Saudi Arabia,1984-02-27,34
21,22,1GK,Mohammed Al-Owais,6,0,Al-Ahli,Saudi Arabia,Saudi Arabia,1991-10-10,26
22,23,2DF,Motaz Hawsawi,17,0,Al-Ahli,Saudi Arabia,Saudi Arabia,1992-02-17,26
0,1,1GK,Fernando Muslera,97,0,Galatasaray,Turkey,Uruguay,1986-06-16,31
1,2,2DF,José Giménez,42,5,Atlético Madrid,Spain,Uruguay,1995-01-20,23
2,3,2DF,Diego Godín (captain),116,8,Atlético Madrid,Spain,Uruguay,1986-02-16,32
3,4,2DF,Guillermo Varela,3,0,Peñarol,Uruguay,Uruguay,1993-03-24,25
4,5,3MF,Carlos Sánchez,36,1,Monterrey,Mexico,Uruguay,1984-12-02,33
5,6,3MF,Rodrigo Bentancur,7,0,Juventus,Italy,Uruguay,1997-06-25,20
